Name,Chords
Os Paralamas do Sucesso - Óculos,"[Intro]  E  A  B
         C#m  A

E|----4-4-4-4-4----------------------5-4--4--------|
B|----5-5-5-5-5--5-5-5-5-5--7-7-7--7-7-5--5--2-4---|
G|---------------6-6-6-6-6--8-8-8--8---------2-4---|
D|-------------------------------------------------|
A|-------------------------------------------------|
E|-------------------------------------------------|

 E                A
Se as meninas do Leblon
           B
Não olham mais pra mim
(Eu uso óculos)
E
  E volta e meia
          A                  B
Eu entro com meu carro pela contramão
(Eu to sem óculos)
E
  Se eu to alegre
            A              B
Eu ponho os óculos e vejo tudo bem
E                                A
  Mas se eu to triste eu tiro os óculos
        B4
Eu não vejo ninguém

C#m     G#m        A               C#m
   Porque você não olha pra mim? Ô ô
    G#m                A             C#m
Me diz o que é que eu tenho de mal ô ô
     G#m        A
Porque você não olha pra mim
      B4                            E  A  B
Por trás dessa lente tem um cara legal
Oi Oi Oi

E             A                  B
  Eu decidir dizer que eu nunca fui o tal
E           A
  Era mais fácil se eu tentasse
                     B
Fazer charme de intelectual
E
  Se eu te disser
        A              B
Periga você não acreditar em mim
E                 A
  Eu não nasci de óculos
       B
Eu não era assim

C#m     G#m        A               C#m
   Porque você não olha pra mim? Ô ô
    G#m                A             C#m
Me diz o que e que eu tenho de mal ô ô
     G#m        A
Porque você não olha pra mim?
      B4
Por trás dessa lente tem um cara legal
C#m      G#m           A            C#m
   Por que você não olha pra mim? Ô ô

C#m      G#m         A               C#m
   Por que você diz sempre que não Ô ô
C#m      G#m
   Por que você não olha pra mim
      B4
Por trás dessa lente também bate um coração"
Lulu Santos - Toda Forma de Amor,"Afinação: E B G D G E

[Intro] G5  Em  D5(9)  C5

Tab - Intro

Parte 1 De 5
   G5
E|-----------------------------------------|
B|-3-3-3-3-3---3-3-3-3-3-3-3---3-3-----3-3-|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0h2p0-0-0-| 
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-------2-0-|
A|-0-0-0-0-0---0-0-0-0-0-0-0---0-------0-0-|
E|-----------------------------------------|

   G5
E|-----------------------------------------|
B|-3-3-3-3-3---3-3-3-3-3-3-3---3-3-----3-3-|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0h2p0-0-0-| 
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-------2-0-|
A|-0-0-0-0-0---0-0-0-0-0-0-0---0-------0-0-|
E|-----------------------------------------|

Parte 2 De 5
   G5
E|-----------------------------------------|
B|-3-3-3-3-3---3-3-3-3-3-3-3---3-3-3-3-----|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0-0-0-----|
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-0-2-0-----|
A|-0-0-0-0-0---0-0-0-0-0-0-0---0-0-0-0-----|
E|-----------------------------------------|

Parte 3 De 5
   Em
E|-----------------------------------------|
B|-----------------------------------------|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0-0-0-----|
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-0-2-0-----|
A|-4-4-4-4-4---4-4-4-4-4-4-4---4-4-4-4-----|
E|-0-0-0-0-0---0-0-0-0-0-0-0---0-0-0-0-----|

Parte 4 De 5
   D5(9)
E|-----------------------------------------|
B|-3-3-3-3-3---3-3-3-3-3-3-3---3-3-3-3-----|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0-0-0-----|
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-0-2-0-----|
A|-----------------------------------------|
E|-----------------------------------------|

Parte 5 De 5
   C5
E|-----------------------------------------|
B|---------------------------------3-------|
G|-5-5-5--4-4-4--2-2-2--4-4-4--5-5-5-------|
D|-5-5-5--5-5-5--5-5-5--5-5-5--5-5-5-------|
A|-5-5-5--5-5-5--5-5-5--5-5-5--5-5-5-------|
E|-----------------------------------------|

[Primeira Parte]

G5
 Eu não pedi pra nascer
Em                      Em7
   Eu não nasci pra perder
D5(9)                               C5
      Nem vou sobrar de vítima das circunstâncias

G5
 Eu tô plugado na vida
Em                       Em7
   Eu tô curando a ferida
D5(9)                          C5             
      Às vezes eu me sinto uma mola encolhida

[Tab - Riff]

Parte 1 De 2
   G5
E|-----------------------------------------|
B|-3-3-3-3-3---3-3-3-3-3-3-3---3-3-----3-3-|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0h2p0-0-0-| 
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-------2-0-|
A|-0-0-0-0-0---0-0-0-0-0-0-0---0-------0-0-|
E|-----------------------------------------|

Parte 2 De 2
   G5
E|-----------------------------------------|
B|-3-3-3-3-3---3-3-3-3-3-3-3---3-3-----3-3-|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0h2p0-0-0-| 
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-------2-0-|
A|-0-0-0-0-0---0-0-0-0-0-0-0---0-------0-0-|
E|-----------------------------------------|

G5
 Você é bem como eu
Em                        Em7
   Conhece o que é ser assim
D5(9)                                C5
      Só que dessa história ninguém sabe o fim

G5
 Você não leva pra casa
Em                      Em7
   Você só traz o que quer
D5(9)                           C5
      Eu sou teu homem, você é minha mulher

[Refrão]

G5
 E a gente vive junto
G5+
    E a gente se dá bem
        C5(9)
Não desejamos mal
    Cm       D5(9)
A quase ninguém

G5
 E a gente vai à luta
G5+
    E conhece a dor
       C5(9)
Consideramos justa
 Cm   D5(9)
Toda forma de amor

[Final] G5

[Tab - Riff Final]

Parte 1 De 2
   G5
E|-----------------------------------------|
B|-3-3-3-3-3---3-3-3-3-3-3-3---3-3-----3-3-|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0h2p0-0-0-| 
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-------2-0-|
A|-0-0-0-0-0---0-0-0-0-0-0-0---0-------0-0-|
E|-----------------------------------------|

Parte 2 De 2
   G5
E|-----------------------------------------|
B|-3-3-3-3-3---3-3-3-3-3-3-3---3-3-----3-3-|
G|-0-0-0-0-0h2-0-0-0-0-0-0-2h4-2-0h2p0-0-0-| 
D|-0-2-0-0-0---0-0-0-0-2-0-0---0-------2-0-|
A|-0-0-0-0-0---0-0-0-0-0-0-0---0-------0-0-|
E|-----------------------------------------|"
Jota Quest - Além do Horizonte,"Bm                E
Além do horizonte existe um lugar
Bm                    E
Bonito e tranqüilo pra gente se amar.

A
lá lá,lálá,lálá,lálá,lálá
                             Bm
lálá,lálá,lálá,lálá,lálá,lá lá lá
E
lálá,lálá,lálá,lálá,lálá
                           (F#m)

F#m
Além do horizonte deve ter
                            Bm
Algum lugar bonito pra viver em paz
E
Onde eu possa encontrar a natureza
                           A
Alegria e felicidade com certeza

F#m
Lá nesse lugar o amanhecer é lindo
                                      Bm
Com flores festejando mais um dia que vem vindo
E
Onde a gente pode se deitar no campo
                                    A
Se amar na relva escutando o canto dos pássaros

F#m
Aproveitar a tarde sem pensar na vida
                                 Bm
Andar despreocupado sem saber a hora de voltar
E
Bronzear o corpo todo sem censura
                              A
Gozar a liberdade de uma vida sem frescura

Bm
Se você não vem comigo
A-Bm
Nada disso tem valor
A-Bm                           A
De que vale o paraíso sem o amor?

Bm
Se você não vem comigo
A-Bm
Tudo isso vai ficar
A-Bm                        A
No horizonte esperando por nós dois

Bm                 E
Além do horizonte existe um lugar
Bm                    E
Bonito e tranqüilo pra gente se amar.

A
lálá,lálá,lálá,lálá,lálá
                            Bm
lálá,lálá,lálá,lálá,lálá,lá lá lá
E
lálá,lálá,lálá,lálá,lálá
                           (A) - 2 Tempos
lálá,lálá,lálá,lálá,lá lá lá lá

Bm
Se você não vem comigo
A-Bm
Nada disso tem valor
A-Bm                       A
De que vale o paraíso sem o amor?

Bm
Se você não vem comigo
A-Bm
Tudo isso vai ficar
A-Bm                        A
No horizonte esperando por nós dois

Bm                 E                  
Além do horizonte existe um lugar       
Bm                    E
Bonito e tranqüilo pra gente se amar.

A
lálá,lálá,lálá,lálá,lálá
                            Bm
lálá,lálá,lálá,lálá,lálá,lá lá lá
E
lálá,lálá,lálá,lálá,lálá
                           (A) - 2 TEMPOS
lálá,lálá,lálá,lálá,lá lá lá lá"
Skank - Vou Deixar,"[Intro]

[Tab - Intro]

E|-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0----------|
B|-5-5-3-3-2-2-3-3-5-5-3-3-2-2-3-3----------|
G|------------------------------------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

E|-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0----------|
B|-5-5-3-3-2-2-3-3-5-5-3-3-2-2-0-0----------|
G|------------------------------------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

[Primeira Estrofe]

        D  F#
Vou deixar
        G       Gm
A vida me levar
                 D  F#
Pra onde ela quiser
          G        Gm
Estou no meu lugar

Você já sabe onde é

[Segunda Estrofe]

D  Bm   G           A            D
       Não conte o tempo por nós   dois
 Bm  G           A
Pois a qualquer hora
         D      Bm
Posso estar de volta
 G            A
Depois que a noite terminar

[Terceira Estrofe]

        D  F#
Vou deixar
        G       Gm
A vida me levar
                 D  F#
Pra onde ela quiser
          G     Gm
Seguir a direção

De uma estrela qualquer

[Quarta Estrofe]

D  Bm  G         A        D       Bm
      Não quero hora pra voltar, não
 G       A         D       Bm
Conheço bem a solidão, me solta

G          A
E deixa a sorte me buscar

[Quinta Estrofe]

Em                        A   Em
   Eu já estou na sua estrada
                     A
Sozinho não enxergo nada

[Sexta Estrofe]

Em            F#m
   Mas vou ficar aqui
  G                F#m  Em
Até que o dia amanheça
          F#m
Vou esquecer de mim
     A
E você se puder não me esqueça

[Sétima Estrofe]

        D  F#
Vou deixar
       G        Gm
O coração bater
                  D  F#
Na madrugada sem fim
          G         Gm
Deixar o sol te ver

Ajoelhada por mim, sim

[Oitava Estrofe]

D  Bm  G         A        D       Bm
      Não tenho hora pra voltar, não
G       A            D     Bm
Eu agradeço tanto a sua escolta
 G           A
Mas deixa a noite terminar

[Nona Estrofe]

Em                        A   Em
   Eu já estou na sua estrada
                     A
Sozinho não enxergo nada

[Décima Estrofe]

Em            F#m
   Mas vou ficar aqui
  G                F#m  Em
Até que o dia amanheça
          F#m
Vou esquecer de mim
     A
E você se puder não me esqueça

[Solo] D  F#  G  Gm

E|-----------------------------------------------------|
B|-3--5--3--5b7rb7r------5--5--5/7\5---3~--------------|
G|-----------------------------------------3---3/5\3\2-|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-----------------------------------------------------|
B|-5/7\-----5--5--5/7\5---3~---------------------------|
G|------------------------------3---3/5-3-2------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

[Final]

( D  Bm  G  A )

E|-----------------------------------------------------|
B|-----3-0---0-----------------------------------------|
G|-2-----------2-0---0---------------------------------|
D|-----------------4-----------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

 D    Bm   G         A
Não, não, não quero hora
     D       Bm
Pra voltar, não
 G       A         D       Bm
Conheço bem a solidão, me solta
G          A
E deixa a sorte me buscar

 D    Bm   G         A
Não, não, não tenho hora
     D       Bm
Pra voltar, não
G       A            D     Bm
Eu agradeço tanto a sua escolta
 G           A
Mas deixa a noite terminar

( D  Bm  G  A )"
RPM - Rádio Pirata,"Intro: B E B E

Riff:

E|-------11--11--11--11--11--11--11--11--12--12--12--12--12--12--12--12---|
B|---------12--12--12--12--12--12--12--12--12--12--12--12--12--12--12--12-|
G|------------------------------------------------------------------------| (2x)
D|------------------------------------------------------------------------|
A|------------------------------------------------------------------------|
E|------------------------------------------------------------------------|

B                   E
Abordar navios mercantes
B                                 E
Invadir, pilhar, tomar o que é nosso
   F#                  E
Pirataria nas ondas do rádio
   F#                            E
Havia alguma coisa errada com o rei

(Riff) B E B E

B                      E
Preparar a nossa invasão
B                                 E
E fazer justiça com as próprias mãos
   F#                     E
Dinamitar um paiol de bobagens
   F#                        E
E navegar o mar na tranqüilidade

B         E
Toquem o meu coração
B         E
Façam a revolução
      F#                     E
Que está no ar, nas ondas do rádio
      F#                  E
No submundo repousa o repúdio
                   B   E B  E
E deve despertar...
B                     E
Disputar em cada frequência
B                          E
Um espaço nosso nessa decadência
      F#                                  E
Canções de guerra, quem sabe canções do mar
     F#                      E
Canções de amor ao que vai vingar
B               E
Toquem o meu coração
B        E
Façam a revolução
      F#                       E
Que está no ar, nas ondas do rádio
      F#                     E
No underground repousa o repúdio
                    B  E  B  E
e deve despertar...               (Riff)"
Detonautas - Outro Lugar,"[Intro] B5  A5  G5  D5
        B5  A5  G5

[Tab - Intro]

   B5                                        A5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-9/11--11-11--11-11-11-11--11-11--11-11-11-11\9------|
D|-----------------------------------------------------|
A|-7/9----9--9---9--9--9--9---9--9---9--9--9--9\7------|
E|-----------------------------------------------------|
   ↓      ↓  ↑   ↑  ↓  ↑  ↓   ↓  ↑   ↑  ↓  ↑  ↓

                               G5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-9-9--9-9-9-9--9-9/11--9-9-9-9\7--7-7--7-7-7-7/9-----|
D|-----------------------------------------------------|
A|-7-7--7-7-7-7--7-7/-9--7-7-7-7\5--5-5--5-5-5-5/7-----|
E|-----------------------------------------------------|
   ↓ ↑  ↑ ↓ ↑ ↓  ↓ ↑     ↑ ↓ ↑ ↓    ↓ ↑  ↑ ↓ ↑ ↓

              D5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-7-7--7--7--7--7-7--7-7-7-7/9--9-7--7-9--------------|
D|-----------------------------------------------------|
A|-5-5--5--5--5--5-5--5-5-5-5/7--7-5--5-7--------------|
E|-----------------------------------------------------|
   ↓ ↑  ↑  ↓  ↓  ↓ ↑  ↑ ↓ ↑ ↓    ↓ ↑  ↑ ↓

   B5                                         A5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-9/11--11-11--11-11-11-11/12--12-11--11-12--12/14----|
D|-----------------------------------------------------|
A|-7/-9---9--9---9--9--9--9/10--10--9---9-10--10/12----|
E|-----------------------------------------------------|
   ↓      ↓  ↑   ↑  ↓  ↑  ↓      ↓  ↑   ↑  ↓   ↓

E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-14-14--14-14-14-14--12-12--11-11\-------------------|
D|-----------------------------------------------------|
A|-12-12--12-12-12-12--10-10---9--9--------------------|
E|-----------------------------------------------------|
    ↓  ↑   ↑  ↓  ↑  ↓   ↓  ↑   ↑  ↓

   G5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-7--7-7--7-7-7-7--7-7--7-7-7-7-----------------------|
D|-----------------------------------------------------|
A|-5--5-5--5-5-5-5--5-5--5-5-5-5-----------------------|
E|-----------------------------------------------------|
   ↓  ↓ ↑  ↑ ↓ ↑ ↓  ↓ ↑  ↑ ↓ ↑ ↓

[Primeira Parte]

                B5              A5
Ainda vou te levar pra outro lugar
  G5             D5
Além do sol, do mar
                  B5       A5
Onde eu possa te ter, te amar
   G5              D5
O tempo vai ser maior

[Segunda Parte]

                        Gm
Não te quero assim tão longe
 F#m    Em                D
Tanto quanto o céu do mar
                     Gm
Quero ter você mais perto
 F#m     Em
Certo, pronto pra te amar
                 
[Terceira Parte]

                B5              A5
Ainda vou te levar pra outro lugar
  G5             D5
Além do sol, do mar
                  B5       A5
Onde eu possa te ter, te amar
   G5              D5
O tempo vai ser maior

[Quarta Parte]

                   Gm
Quero ter o teu encanto
 Gm      F#m             D
Tanto, pra me enfeitiçar
                Gm
Quero ter você mais
 Gm      F#m
Perto, pra poder te amar

[Solo] B5  A5  G5  D5
       B5  A5  G5  D5

[Tab - Solo]

E|-9h10p9-----------------------------------9h10p9-----|
B|---------12--10------10h12~~----10h12--12---------10~|
G|-----------------11----------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-----------------------------------------------------|
B|-10-10b12r10----10-10b12r10----10--------------------|
G|----------------------------------9h11~--------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-9h10p9---------------------------10-12-12b14r12--12~|
B|---------12--10------10h12~~--/12--------------------|
G|-----------------11----------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-17b19--17--15--14-----------------------------------|
B|--------------------17b19r17--15~~-------------------|
G|-----------------------------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

[Quinta Parte]

[Tab - Guitarra 1]

   Bm                    G6
E|------------------2---------------------0-|
B|-------3--------3------------0--------0---|
G|-----4----4---4------------0----0---0-----|
D|---4--------4------------0--------0-------|
A|-2----------------------------------------|
E|-----------------------3------------------|
   D7M                   A
E|-------2----------2-----------------------|
B|-----2----2---2--------------2------------|
G|---2--------2---2----------2--------------|
D|-0-----------------------2----------------|
A|-----------------------0------------------|
E|------------------------------------------|

E|---------5------3------2------------------|
B|-3--5/7----7\5----5\3---------------------|
G|------------------------------------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

[Tab - Guitarra 2]

   P.M . . . .  .   . . . .  .   . .         
E|------------------------------------------|
B|------------------------------------------|
G|-6h7-7-7-7-7--6h7-7-7-7-7--6h7-7-7--------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

   Bm         G6        D7M        A
E|-2----------0---------2----------0--------|
B|----3----------0---------2----------0--3p2|
G|-------4----------4---------2-------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

E|---------5------3------2------------------|
B|-3--5/7----7\5----5\3---------------------|
G|------------------------------------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

Bm
   Eu podia até tentar acreditar nessa
    G6
Ilusão, não sei por quê

Viagem errada então
D7M
    O meu caminho me levava a acreditar
             A
Que eu tava certo

Que eu era esperto e coisa tal
Bm
   Cara sinistro da zona sul
   G6
Andando com um monte de santinha
                 D7M
Pra lá, e pra cá

Mas com você foi diferente
           A
Foi de primeira

Quando eu te vi, até me faltou o ar

[Sexta Parte]

   B5                                  G5
As oportunidades dessa vida me fazem crer
    
Quando estamos frente a frente
           D5
Só eu e você
             
O tempo passa tudo é mais fácil
   A5
Difícil é esquecer o que eu passo
                B5
Quando você se vai
                               G5
Fico aqui bolando plano mirabolantes

Fico inconstante, pareço iniciante
    D5
Eu vou fazer de tudo
                              A5
Pra trazer você pra perto de mim
                       G5
Pode acreditar que sim

[Sétima Parte]

                B5              A5
Ainda vou te levar pra outro lugar
  G5             D5
Além do sol, do mar
                  B5       A5
Onde eu possa te ter, te amar
   G5              D5
O tempo vai ser maior

[Oitava Parte]

                B5              A5
Ainda vou te levar pra outro lugar
  G5             D5
Além do sol, do mar
                  B5       A5
Onde eu possa te ter, te amar
   G5        D5
O tempo vai ser maior

[Final] B5  A5  G5  D5
        B5  A5  G5

[Tab - Final]

   B5                                        A5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-9/11--11-11--11-11-11-11--11-11--11-11-11-11\9------|
D|-----------------------------------------------------|
A|-7/9----9--9---9--9--9--9---9--9---9--9--9--9\7------|
E|-----------------------------------------------------|
   ↓      ↓  ↑   ↑  ↓  ↑  ↓   ↓  ↑   ↑  ↓  ↑  ↓

                               G5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-9-9--9-9-9-9--9-9/11--9-9-9-9\7--7-7--7-7-7-7/9-----|
D|-----------------------------------------------------|
A|-7-7--7-7-7-7--7-7/-9--7-7-7-7\5--5-5--5-5-5-5/7-----|
E|-----------------------------------------------------|
   ↓ ↑  ↑ ↓ ↑ ↓  ↓ ↑     ↑ ↓ ↑ ↓    ↓ ↑  ↑ ↓ ↑ ↓

              D5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-7-7--7--7--7--7-7--7-7-7-7/9--9-7--7-9--------------|
D|-----------------------------------------------------|
A|-5-5--5--5--5--5-5--5-5-5-5/7--7-5--5-7--------------|
E|-----------------------------------------------------|
   ↓ ↑  ↑  ↓  ↓  ↓ ↑  ↑ ↓ ↑ ↓    ↓ ↑  ↑ ↓

   B5                                         A5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-9/11--11-11--11-11-11-11/12--12-11--11-12--12/14----|
D|-----------------------------------------------------|
A|-7/-9---9--9---9--9--9--9/10--10--9---9-10--10/12----|
E|-----------------------------------------------------|
   ↓      ↓  ↑   ↑  ↓  ↑  ↓      ↓  ↑   ↑  ↓   ↓

E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-14-14--14-14-14-14--12-12--11-11\-------------------|
D|-----------------------------------------------------|
A|-12-12--12-12-12-12--10-10---9--9--------------------|
E|-----------------------------------------------------|
    ↓  ↑   ↑  ↓  ↑  ↓   ↓  ↑   ↑  ↓

   G5
E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-7--7-7--7-7-7-14--12-12--11-11\--7------------------|
D|-----------------------------------------------------|
A|-5--5-5--5-5-5-12--10-10---9--9\--5------------------|
E|-----------------------------------------------------|
   ↓  ↓ ↑  ↑ ↓ ↑  ↓   ↓  ↑   ↑  ↓   ↓               

E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-7/9--9--9/11--7-------------------------------------|
D|-----------------------------------------------------|
A|-5/7--7--7/-9--5-------------------------------------|
E|-----------------------------------------------------|
   ↓    ↓  ↓     ↓"
CPM 22 - Um Minuto Para O Fim Do Mundo,
Charlie Brown Jr. - Te Levar Daqui,
Raimundos - Mulher de fases,
Capital Inicial - Primeiros Erros,"[Intro] D5(9)  D  E/D
        D5(9)  D  E/D
        D9  D5(9)/C#  G6/B
        D9  D5(9)/C#  G6/B

Parte 1 de 2

   D5(9)            D     E/D
E|-5-5--2h5---5-5-5-2-2-2/4-------4--------|
B|-3-3------5-------3-3-3/5-5---7---5------|
G|-2-2--------------2-2-2/4---4-------4----|
D|-0----------------0----------------------|
A|-----------------------------------------|
E|-----------------------------------------|

E|---4-----4-------------------------------|
B|-7---5---5-------------------------------|
G|-------4-4-------------------------------|
D|---------0-------------------------------|
A|-----------------------------------------|
E|-----------------------------------------|

   D5(9)            D     E/D
E|-5-5--2h5---5-5-5-2-2-2/4-------4--------|
B|-3-3------5-------3-3-3/5-5---7---5------|
G|-2-2--------------2-2-2/4---4-------4----|
D|-0----------------0----------------------|
A|-----------------------------------------|
E|-----------------------------------------|

E|---4-------4-----------------------------|
B|-7---5---7---5---------------------------|
G|-------4-------4-------------------------|
D|-----------------------------------------|
A|-----------------------------------------|
E|-----------------------------------------|

Parte 2 de 2

   D9              D5(9/C#)
E|-0---------------------------------------|
B|-10------10---------10------10-----------|
G|-11--11--11--11--9--9----9--9---9--------|
D|-0---0---0---0---0-------0------0--------|
A|-----------------------------------------|
E|-----------------9-----9------9----------|

    G/B
E|-------------------------7---------------|
B|---8------8--------8-----8---------------|
G|-7-7---7--7---7--7-7---7-----7-----------|
D|-0-----0------0--0-----0-----0-----------|
A|-----------------------------------------|
E|-7---7------7----7---7-----7-------------|

[Primeira Parte]

D5(9)        D5(7M/9)          D5(9)
      Meu caminho é cada manhã
         D5(7M/9)          Bm7(11)
 Não procure saber onde estou
        Bm7(9/11)         Bm7(11)
Meu destino não é de ninguém
          A4(7)                    D5(9)
E eu não deixo os meus passos no chão
      D5(7M/9)           D5(9)
Se você não entende não vê
           D5(7M/9)      Bm7(11)
Se não me vê não entende
        Bm7(9/11)         Bm7(11)
Não procure saber onde estou
          Bm7(9/11)     G7M
Se o meu jeito te surpreende

[Segunda Parte]

          G4+(6)        G7M
Se o meu corpo virasse sol
            G4+(6)        Em7(9)
Se a minha mente virasse sol
         Em7(13)    Em7(9)
Mas só chove, chove
  Em7(13)
Chove, chove

( D9  D5(9)/C#  G6/B )
( D9  D5(9)/C#  G6/B )

[Primeira Parte]

D5(9)        D5(7M/9)       D5(9)
      Se um dia eu pudesse ver
        D5(7M/9)    Bm7(11)
Meu passado inteiro
     Bm7(9/11)         Bm7(11)
E fizesse parar de chover
        Bm7(9/11)   G7M
Nos primeiros erros

[Segunda Parte]

     G4+(6)        G7M
Meu corpo viraria sol
       G4+(6)        Em7(9)
Minha mente viraria sol
         Em7(13)    Em7(9)
Mas só chove, chove
  Em7(13)    G7M
Chove, chove

     G4+(6)        G7M
Meu corpo viraria sol
       G4+(6)       Em7(9)
Minha mente viraria
         Em7(13)    Em7(9)
Mas só chove, chove
  Em7(13)
Chove, chove

( D  E/D )
( D  E/D )

[Primeira Parte]

D5(9)        D5(7M/9)       D5(9)
      Se um dia eu pudesse ver
        D5(7M/9)    Bm7(11)
Meu passado inteiro
     Bm7(9/11)         Bm7(11)
E fizesse parar de chover
        Bm7(9/11)   G7M
Nos primeiros erros

[Segunda Parte]

[Segunda Parte]

     G4+(6)        G7M
Meu corpo viraria sol
       G4+(6)        Em7(9)
Minha mente viraria sol
         Em7(13)    Em7(9)
Mas só chove, chove
  Em7(13)    G7M
Chove, chove

     G4+(6)        G7M
Meu corpo viraria sol
       G4+(6)       Em7(9)
Minha mente viraria
         Em7(13)    Em7(9)
Mas só chove, chove
  Em7(13)    G7M
Chove, chove

     G4+(6)        G7M
Meu corpo viraria sol
       G4+(6)        Em7(9)
Minha mente viraria sol
         Em7(13)    Em7(9)
Mas só chove, chove
  Em7(13)
Chove, chove

( D9  D5(9)/C#  G6/B )
( D9  D5(9)/C#  G6/B )
( D5(9)  E/D  D5(9) )"
